"Month","ME","RMSE","R","Obs_mean","Obs_sd","Obs_p25","Obs_p50","Obs_p75","NASA_mean","NASA_sd","NASA_p25","NASA_p50","NASA_p75"
1,9.64541778975741,14.7252343782115,0.493158248041686,80.010781671159,13.8413751927031,73,84,90,88.0623989218329,4.10105562051936,86.31,88.31,90.345
2,12.3012312312312,17.8354810780446,0.648297952515905,75.1741741741742,17.0394561520467,64,81,89,85.6828528528528,4.72344396185798,83.69,86.25,88.69
3,12.033641025641,16.7197584174671,0.71795028101693,71.8487179487179,16.5022452596363,60,77,86,82.0844102564103,5.26931911582204,79,82.72,85.69
4,6.67067885117493,9.99362994239768,0.48159307294964,80.4229765013055,10.4244323620103,76,84,87,84.4917232375979,5.28682414953661,81.19,85.31,88.41
5,5.13157760814249,7.64810041442379,0.469245548277636,85.8778625954198,7.85586635809023,83,87,91,89.1160050890585,3.75515741537685,87.31,90,91.75
6,4.67900537634409,6.70618409436595,0.440002988139491,87.3010752688172,6.79112302497981,84,88.5,92,90.0270161290323,2.31519601372095,88.94,90.25,91.515
7,4.49380352644836,6.23675386243149,0.45276170024166,87.2770780856423,6.54501148045141,84,88,92,89.4370780856423,2.45137892064326,88.25,89.75,91.12
8,4.29994949494949,5.82912666501318,0.333355518787192,88.1641414141414,6.13607939976371,85,89,93,88.930404040404,1.95233980710685,87.62,88.94,90.38
9,4.55054263565891,6.11100912764328,0.435032838252528,87.7519379844961,6.71094266223704,85,88,93,88.6091989664083,2.4824517024765,87.06,88.94,90.41
10,4.48783561643836,6.57307221595537,0.385393280186664,87.2684931506849,6.88558130196895,85,89,92,88.6946849315069,3.61022749304778,86.88,89.25,91.19
11,4.48848137535817,7.15218346847745,0.528051347639477,87.5931232091691,8.00039932475033,85,90,93,89.7063037249284,3.41012999541762,87.56,89.88,92.12
12,6.06893175074184,10.0040264149184,0.655712297909889,86.1038575667656,11.0145149074446,83,88,93,90.2840652818991,3.52166336957165,88.56,90.62,92.75
