"Season","Dataset","WetDay","Days","Percent"
"FIM","NASA","Dry (<1 mm)",250,33.2005312084993
"FIM","NASA","Wet (≥1 mm)",503,66.7994687915007
"FIM","Obs","Dry (<1 mm)",525,69.7211155378486
"FIM","Obs","Wet (≥1 mm)",228,30.2788844621514
"NEM","NASA","Dry (<1 mm)",473,46.5093411996067
"NEM","NASA","Wet (≥1 mm)",544,53.4906588003933
"NEM","Obs","Dry (<1 mm)",685,67.3549655850541
"NEM","Obs","Wet (≥1 mm)",332,32.6450344149459
"SIM","NASA","Dry (<1 mm)",113,16.9415292353823
"SIM","NASA","Wet (≥1 mm)",554,83.0584707646177
"SIM","Obs","Dry (<1 mm)",292,43.7781109445277
"SIM","Obs","Wet (≥1 mm)",375,56.2218890554723
"SWM","NASA","Dry (<1 mm)",585,30.5164319248826
"SWM","NASA","Wet (≥1 mm)",1332,69.4835680751174
"SWM","Obs","Dry (<1 mm)",1016,52.999478351591
"SWM","Obs","Wet (≥1 mm)",901,47.000521648409
