"Month","ME","RMSE","R","Obs_mean","Obs_sd","Obs_p25","Obs_p50","Obs_p75","NASA_corrected_mean","NASA_corrected_sd","NASA_corrected_p25","NASA_corrected_p50","NASA_corrected_p75"
1,4.50272669086618e-18,1.06576112079042,0.552326509506143,14.9013477088949,1.22190516523412,14.25,15.1,15.8,14.9013477088949,0.993232776562164,14.2177223719677,15.0127223719677,15.6477223719677
2,1.12488417292156e-16,1.12443146322257,0.42834535529235,15.5096096096096,1.11993067939688,14.9,15.4,16.2,15.5096096096096,0.973719291880294,14.8538138138138,15.5938138138138,16.2538138138138
3,-6.78782423119923e-16,1.0062415589463,0.390028044176826,16.3258974358974,0.997075976840471,15.7,16.3,16.9,16.3258974358974,0.803855080989897,15.8812692307692,16.3687692307692,16.8787692307692
4,1.22124532708767e-15,0.879900782993359,0.424150348196718,16.9424479166667,0.821350379781008,16.4,16.9,17.425,16.9424479166667,0.820600879156282,16.4271354166667,16.9346354166667,17.4821354166667
5,-3.82606643602864e-16,0.781763364874865,0.401684464801439,17.2060759493671,0.737889392550383,16.7,17.2,17.7,17.2060759493671,0.691463950922278,16.7218734177215,17.0818734177215,17.5718734177215
6,2.24336002097096e-16,0.682956798262851,0.610231561640365,16.3206989247312,0.855441781924984,15.7,16.25,16.8,16.3206989247312,0.61371772595349,15.9012903225806,16.2737903225806,16.7262903225806
7,5.1913102061918e-16,0.650615724052703,0.622515995459598,16.0070528967254,0.823211639713948,15.4,15.9,16.6,16.0070528967254,0.608951185811531,15.5808312342569,15.9708312342569,16.3908312342569
8,7.93735649246961e-16,0.674997233364319,0.461254511886881,15.9194444444444,0.740954358555727,15.4,15.9,16.4,15.9194444444444,0.498507530237627,15.5835101010101,15.9285101010101,16.2485101010101
9,1.28087266447377e-15,0.687861161076701,0.445715903798904,15.9475452196382,0.743234019796623,15.4,15.9,16.45,15.9475452196382,0.509379551559371,15.6491602067183,15.9641602067183,16.2541602067183
10,9.64850821004771e-18,0.767329991720908,0.305345005578244,16.0315068493151,0.694301117562519,15.6,16.1,16.5,16.0315068493151,0.60354119578641,15.6394520547945,16.0494520547945,16.4794520547945
11,4.9381215051463e-16,0.734452629415246,0.390763828861897,15.8822349570201,0.695944443741378,15.4,15.9,16.3,15.8822349570201,0.633320655900104,15.4385959885387,15.8985959885387,16.3585959885387
12,2.58137277008847e-16,0.768614298718771,0.613286284463219,15.4074183976261,0.929591970791766,14.8,15.4,16.1,15.4074183976261,0.801202963492962,14.9281899109792,15.5281899109792,15.9581899109792
